연번 ,업소명(상호),영업장소재지,경도,위도,위생등급,지정번호,관할기관,지정일자
488,해운정,"부산광역시 해운대구 마린시티3로 52(우동, 한화리조트2층)",129.1449429,35.15444581,매우우수,HG210010831,부산광역시 해운대구,2021-11-22
489,블루시걸,"부산광역시 해운대구 마린시티3로 52(우동, 한화리조트2층)",129.1449429,35.15444581,매우우수,HG210010817,부산광역시 해운대구,2021-11-22
490,프리미엄 겟201 해운대,"부산광역시 해운대구 마린시티2로 33(지상2층 205-2호 우동, 해운대두산위브더제니스)",129.144817,35.15720524,매우우수,HG230007732,부산광역시 해운대구,2023-10-18
491,리베르타,부산광역시 해운대구 마린시티3로 51(더샵해운대아델리스 103호 우동),129.1458368,35.1540137,매우우수,HG230000786,부산광역시 해운대구,2023-03-02
492,피제리아 라르도,부산광역시 해운대구 마린시티3로 51(더샵해운대아델리스 1층 105호 우동),129.1458368,35.1540137,매우우수,HG230000785,부산광역시 해운대구,2023-03-02
494,주정,"부산광역시 해운대구 마린시티3로 37(우동, 한일오르듀213,214호)",129.1466033,35.15544866,매우우수,HG220009449,부산광역시 해운대구,2022-11-01
495,동백삼계탕,"부산광역시 해운대구 마린시티3로 23(우동, 벽산e오렌지상가 320호 - 325호)",129.1469274,35.15664443,매우우수,HG220002196,부산광역시 해운대구,2022-04-06
500,(주)조선호텔앤리조트 부산 오킴스,"부산광역시 해운대구 동백로 67(우동, 신세계조선호텔 부산 1,2층일부)",129.1540413,35.15599089,매우우수,HG220005451,부산광역시 해운대구,2022-07-11
501,(주)조선호텔앤리조트 부산 까밀리아,부산광역시 해운대구 동백로 67(우동),129.1540413,35.15599089,매우우수,HG220005544,부산광역시 해운대구,2022-07-12
502,(주)조선호텔앤리조트 부산 셔블,"부산광역시 해운대구 동백로 67(우동, 지하1층)",129.1540413,35.15599089,매우우수,HG220005531,부산광역시 해운대구,2022-07-12
504,고반식당 해운대점(별관),부산광역시 해운대구 구남로8번길 58(2층 우동),129.156449,35.16170069,우수,HG230007731,부산광역시 해운대구,2023-10-18
506,마라신 해리단길점,부산광역시 해운대구 우동1로20번길 11(지상1층 우동),129.1572168,35.16398286,우수,HG210011418,부산광역시 해운대구,2021-12-09
508,케빈스보일링크랩 해운대점,부산광역시 해운대구 우동1로 64-1(1층 일부호 우동),129.157657,35.16716053,매우우수,HG230001971,부산광역시 해운대구,2023-04-11
509,바리오,부산광역시 해운대구 우동1로50번길 2(1층 일부호 우동),129.1577925,35.16587927,매우우수,HG210001201,부산광역시 해운대구,2023-03-08
511,신라스테이 해운대 카페,"부산광역시 해운대구 해운대로570번길 46(우동, 2층일부)",129.1587271,35.15980402,매우우수,HG210009776,부산광역시 해운대구,2023-10-18
515,주식회사 전설의우대갈비 해운대직영점,부산광역시 해운대구 해운대해변로 277(다옴빌딩 3층 중동),129.16156,35.15988503,매우우수,HG230007929,부산광역시 해운대구,2023-10-23
517,디아스,"부산광역시 해운대구 해운대해변로 287(중동, 지상4층)",129.1622485,35.16044629,우수,HG220000250,부산광역시 해운대구,2022-01-18
519,사까에&르소메,"부산광역시 해운대구 해운대해변로 296(중동, 3층)",129.1652747,35.16021888,매우우수,HG190000210,부산광역시 해운대구,2023-04-08
520,파라다이스 라운지,"부산광역시 해운대구 해운대해변로 296(중동, 신관 1층)",129.1652747,35.16021888,매우우수,HG190000211,부산광역시 해운대구,2023-04-08
521,라스칼라,"부산광역시 해운대구 해운대해변로 296(중동, 신관 지상2층)",129.1652747,35.16021888,매우우수,HG190000207,부산광역시 해운대구,2023-04-08
522,남풍,"부산광역시 해운대구 해운대해변로 296(중동, 지상3층)",129.1652747,35.16021888,매우우수,HG190000208,부산광역시 해운대구,2023-04-08
523,온 더 플레이트,"부산광역시 해운대구 해운대해변로 296(중동, 외6 지상1층)",129.1652747,35.16021888,매우우수,HG190000215,부산광역시 해운대구,2023-04-08
524,(주)파라다이스호텔부산크리스탈가든,"부산광역시 해운대구 해운대해변로 296(중동, 1층)",129.1652747,35.16021888,매우우수,HG190000214,부산광역시 해운대구,2023-04-08
525,밥공기,부산광역시 해운대구 중동2로 7(2층 중동),129.1645746,35.1626954,매우우수,HG230008657,부산광역시 해운대구,2023-11-10
526,창고43 해운대점,"부산광역시 해운대구 달맞이길 2-2(2, 3층 중동)",129.1650786,35.16186128,매우우수,HG230000615,부산광역시 해운대구,2023-02-21
528,더파티프리미엄,"부산광역시 해운대구 해운대해변로298번길 24(중동, 팔레드시즈 B1-1호)",129.1665805,35.16019728,매우우수,HG220000960,부산광역시 해운대구,2022-02-18
